"中文","英译","备注"
"BRT蔡塘","BRT Station of Caitang",
"BRT第一码头","BRT Station of 1st Wharf",
"BRT东芳山庄","BRT Station of Dongfang Shanzhuang",
"BRT高崎机场","BRT Station of Gaoqi Airport",
"BRT高崎机场平台","BRT Platform of Gaoqi Airport",
"BRT金山","BRT Station of Jinshan",
"BRT双十中学","BRT Station of Shuangshi Middle School",
"BRT文灶","BRT Station of Wenzao",
"BRT县后","BRT Station of Xianhou",
"SM城市广场","SM City",
"SM城市广场2","Stop 2 of SM City",
"安兜","Andou",
"安兜村口","Andou Village Entrance",
"安兜医院","Andou Hospital",
"安兜自来水厂","Andou Waterworks",
"安岭二路口","Anling 2nd Rd. Intersection",
"安平路口","Anping Intersection",
"奥林匹克博物馆","Olympic Museum",
"白鹿路","Bailu Rd.",
"白鹭洲","Bailuzhou",
"白鹭洲公园","Bailuzhou Park",
"百果山","Baiguo Hill",
"坂美村","Banmei Village",
"坂美公园","Banmei Park",
"坂上社","Banshang Sia",
"坂尚","Banshang",
"坂尚路","Banshang Rd.",
"宝龙一城公交场站","Onemall Bus Terminal",
"宝龙中心","Powerlong Center",
"报业大厦","Press Building",
"北大生物园","PKU Biopark",
"奔马新村","Benma New Residential Quarter",
"滨北东渡","Dongdu on Hubin N. Rd.",
"滨北小学","Binbei Primary School",
"滨北中行","Hubin N. Rd. Sub-branch of Bank of China",
"滨南公交综合楼","Binnan Transport Complex Building",
"滨南美湖路口","Hubin S. Rd.-Meihu Intersection",
"滨南中山医院","Zhongshan Hospital on Hubin S. Rd.",
"槟榔路","Binglang Rd.",
"槟榔路口","Binglang Intersection",
"槟榔新村","Binglang New Residential Quarter",
"博士山庄","Doctor Villa",
"蔡塘广场","Caitang Plaza",
"蔡塘广场2","Stop 2 of Caitang Plaza",
"蔡塘学校","Caitang School",
"仓里","Cangli",
"长岸和旭路口","Chang'an-Hexu Intersection",
"长歌路口","Changge Intersection",
"长浩路口","Changhao Intersection",
"长虹路","Changhong Rd.",
"长虹路口","Changhong Intersection",
"长乐村","Changlecun",
"长乐路","Changle Rd.",
"长青路","Changqing Rd.",
"长青路口","Changqing Intersection",
"城市职业学院","City University",
"城市职业学院南","South of City University",
"赤坡山","Chipo Hill",
"创新二路口","Chuangxin 2nd Rd. Intersection",
"创业园","Hi-tech Innovation Center",
"大湖","Dahu",
"大生里","Dashengli",
"大唐中心","Dynasty Center",
"大同路","Datong Rd.",
"大同路口","Datong Intersection",
"大同中学前埔校区","Qianpu Campus of Datong Middle School",
"埭辽","Dailiao",
"埭辽路口","Dailiao Intersection",
"地铁后埔","Metro Station of Houpu",
"地铁五缘湾","Metro Station of Wuyuanwan",
"地铁钟宅","Metro Station of Zhongzhai",
"第二福利院","No.2 Welfare House",
"第一码头","1st Wharf ",
"第一医院","No.1 Hospital",
"电化宿舍","Apartment of Electrification Plant",
"电化宿舍2","Stop 2 of Apartment of Electrification Plant",
"店上","Dianshang",
"殿前","Dianqian",
"殿前北站社区","Beizhan Community, Dianqian",
"殿前村口","Dianqian Village Entrance",
"殿前街道","Dianqian Subdistrict",
"殿前社区医院","Dianqian Community Hospital",
"殿前一路","Dianqian 1st Rd.",
"顶何","Dinghe",
"东渡","East Ferry, the",
"东渡二小","No.2 Primary School of Dongdu",
"东渡公交场站","Dongdu Bus Terminal",
"东渡狐尾山","Fox Tail Hill, Dongdu",
"东芳山庄","Dongfang Villa",
"东明路","Dongming Rd.",
"东坪安置房","Dongping Housing Placement",
"东坪二里","Lane 2 of Dongping",
"东坪佳苑","Dongping Jiayuann",
"东坪山社","Dongpingshan Sia",
"东坪市场","Dongping Market",
"东浦三里","Lane 3 of Dongpu",
"东浦一里","Lane 1 of Dongpu",
"东浦幼儿园","Dongpu Kindergarten",
"东山社","Dongshan Sia",
"东山水库","Dongshan Reservior",
"东盛花园","Dongsheng Garden",
"东盛花园西门","West Gate of Dongsheng Garden",
"斗西路口","Douxi Intersection",
